,LQA Bid-Ask Spread,Yld to Mty (Mid),S&P Outlook,cluster1,Issuer Name
478,0.1389265584713293,5.7267616131050785,0,0,JPMorgan Chase & Co
479,0.0932067249053535,5.246288451997755,0,0,JPMorgan Chase & Co
481,0.0938863252844338,5.9853617337072,0,0,Morgan Stanley
482,0.3448215929603876,5.667061872883497,0,2,JPMorgan Chase & Co
489,0.214856389357775,3.13559601225887,0,0,Apple Inc
490,0.2183809315220867,4.899999315792027,-1,1,Intel Corp
494,0.1337524063766912,4.936291603014514,-1,1,Intel Corp
495,0.1452712581511016,5.852811751546496,0,0,Morgan Stanley
497,0.1441251567153159,5.7195281697714995,0,0,JPMorgan Chase & Co
498,0.0436978682863058,6.130314658162723,0,0,JPMorgan Chase & Co
499,0.2846311174492434,5.460379076256607,0,2,JPMorgan Chase & Co
503,0.0438529203875789,3.8510946838178914,0,0,Apple Inc
504,0.2670524678084948,5.100980538555337,0,0,Apple Inc
505,0.2820763080258021,5.669990270393792,0,2,JPMorgan Chase & Co
507,0.23574375798097,6.3176831954646016,-1,1,UBS Group AG
509,0.155886584682814,5.672849188164321,0,0,JPMorgan Chase & Co
511,0.1229289064663091,4.865266364656407,-1,1,Intel Corp
513,0.1678308984641156,5.764400301004179,0,0,JPMorgan Chase & Co
519,0.0832057893003547,3.548457044059755,0,0,Apple Inc
523,0.1533666226404243,6.517944359087999,-1,1,UBS Group AG
524,0.0357111159395061,6.758434101589056,-1,1,UBS Group AG
526,0.1054750835233874,5.412974892398044,0,0,JPMorgan Chase & Co
528,0.1255308796772437,4.97030600018328,-1,1,Intel Corp
531,0.1151441510322065,6.061810415280167,0,0,JPMorgan Chase & Co
532,0.2250734238700171,5.102464108626293,0,0,BlackRock Inc
534,0.3340794221052533,7.923835718751798,0,2,Intesa Sanpaolo SpA
535,0.068825352098784,6.127214295416528,0,0,Danske Bank A/S
540,0.0805110320786492,6.14876269702615,0,0,Morgan Stanley
542,0.1444623978445899,6.297314486540482,0,0,Danske Bank A/S
543,0.4548721173900054,5.476731364412353,0,2,JPMorgan Chase & Co
545,0.1970958122539497,5.925540806996164,0,0,Morgan Stanley
548,0.0943708548173891,4.9376785847070845,-1,1,Intel Corp
550,0.0595304245577537,6.820818098790051,0,0,Danske Bank A/S
551,0.190814850322978,6.207263188995722,-1,1,UBS Group AG
552,0.2160470126724378,4.956713481309007,-1,1,Intel Corp
553,0.3069041363439435,5.860088853538241,0,2,Danske Bank A/S
555,0.2853973409280055,5.736578133804607,0,2,Morgan Stanley
556,0.0746511506969618,6.450492432874679,0,0,JPMorgan Chase & Co
561,0.0584390494729494,6.693678380777358,0,0,Danske Bank A/S
562,0.3482360438157724,5.581131437598077,-1,1,Intel Corp
564,0.1835267753336838,4.915750114585249,0,0,BlackRock Inc
565,0.1313996886522513,6.240130147399117,-1,1,UBS Group AG
569,0.1444623978445899,6.300594450631147,0,0,Danske Bank A/S
572,0.3131584807579859,5.509375253084392,-1,1,Intel Corp
573,0.2686192311771015,5.521648860627619,0,2,AbbVie Inc
575,0.1104028840661983,5.341939145759866,0,0,Nasdaq Inc
576,0.1533666226404243,6.543712720742413,-1,1,UBS Group AG
580,0.3624783972052684,5.133475598953945,0,2,Apple Inc
581,0.1478731261004311,5.917128286207258,0,0,Morgan Stanley
582,0.3373849316206757,5.08101722069596,0,2,Apple Inc
585,0.1673447634493926,4.503933558917673,0,0,Apple Inc
587,0.1189587990944231,5.785238791205481,0,0,Morgan Stanley
592,0.0319927132246108,6.188126416569571,0,0,JPMorgan Chase & Co
594,0.4209590585427064,5.667205473818302,0,2,Morgan Stanley
596,0.2061149787086657,1.3950222319902006,-1,1,UBS Group AG
597,0.0567102742265092,6.282434048073328,0,0,Morgan Stanley
599,0.5635118106296133,6.162244248767561,-1,2,UBS Group AG
600,0.1325673265929644,5.77151874614291,0,0,JPMorgan Chase & Co
602,0.1749354244724938,3.5419641018261223,0,0,AbbVie Inc
604,0.2473744362171698,5.555960308488439,-1,1,Intel Corp
605,0.068825352098784,6.108058727577134,0,0,Danske Bank A/S
607,0.0553219474660785,6.55187673887373,0,0,Intesa Sanpaolo SpA
610,0.0648396436070925,6.682803125648479,-1,1,UBS Group AG
611,0.0357111159395061,6.6161280817664725,-1,1,UBS Group AG
612,0.270259426831551,5.561023456815326,-1,1,Intel Corp
614,0.1251054022606735,6.384697761489996,-1,1,UBS Group AG
615,0.190814850322978,6.1917889997898685,-1,1,UBS Group AG
617,0.2686861952219553,4.854626335934746,0,0,Apple Inc
619,0.4016835181052049,4.920015640190454,0,2,Apple Inc
624,0.2014758401420798,4.907649760540955,-1,1,Intel Corp
629,0.0523987100126743,6.06322362465063,0,0,Danske Bank A/S
630,0.34223063428827,5.787712167263028,0,2,Morgan Stanley
631,0.1654833812098741,5.879457812397709,0,0,Morgan Stanley
635,0.0526340947421595,6.344158180697891,0,0,Morgan Stanley
638,0.2796394488362869,5.691435421232006,0,2,JPMorgan Chase & Co
640,0.1313996886522513,6.187477390807765,-1,1,UBS Group AG
643,0.112212532356716,5.972643678086679,-1,1,UBS Group AG
644,0.2275320432058046,5.9291914444633615,-1,1,UBS Group AG
645,0.244130188692222,3.1220238633129336,0,0,Apple Inc
646,0.343856489949062,5.618483723549148,-1,1,Intel Corp
648,0.21391871856596,6.412357789860006,-1,1,UBS Group AG
649,0.3788405682134982,5.517893491190703,-1,1,Intel Corp
651,0.1768343613392751,6.6061544950270825,0,0,Intesa Sanpaolo SpA
652,0.3453038674305676,6.267964414107063,-1,1,UBS Group AG
653,0.0172322847343106,5.467185242395857,0,0,Morgan Stanley
658,0.2041611793964334,5.907063005392944,0,0,Danske Bank A/S
663,0.23574375798097,6.334509625868274,-1,1,UBS Group AG
667,0.4079157562753609,5.881211710663825,0,2,Nasdaq Inc
670,0.3453038674305676,6.278799486619196,-1,1,UBS Group AG
674,0.1478051761710335,4.571987750322838,0,0,Apple Inc
679,0.09183374717505,6.172133523319815,-1,1,UBS Group AG
682,0.3278395526232359,4.170729724465716,0,0,Nasdaq Inc
689,0.1095592400746694,6.841024517431858,-1,1,UBS Group AG
693,0.1227614632654778,6.463565921487612,-1,1,UBS Group AG
695,0.3587987732897992,5.4118061461087095,-1,1,Intel Corp
696,0.3040758885892796,5.647453656249159,0,2,JPMorgan Chase & Co
697,0.1817935784983231,5.943753416338773,0,0,Morgan Stanley
699,0.4479324761434864,5.849995434100793,0,2,Morgan Stanley
702,0.1560358778272894,5.360638410575734,0,0,Nasdaq Inc
705,0.1418987901967055,6.158893503303216,-1,1,UBS Group AG
711,0.1053582532394536,6.294775326286104,-1,1,UBS Group AG
719,0.1865797115011399,5.917885209957613,-1,1,UBS Group AG
722,0.2849424379645792,5.670257011502178,0,2,JPMorgan Chase & Co
724,0.1095592400746694,6.835379386186427,-1,1,UBS Group AG
727,0.0680180643846053,6.1574852048325495,0,0,JPMorgan Chase & Co
729,0.0792776246087775,6.535852274552542,0,0,Danske Bank A/S
737,0.3529930883971327,5.588879701702446,-1,1,Intel Corp
738,0.2560014195146154,5.821893350033922,0,2,Nasdaq Inc
739,0.3069041363439435,5.847441837795708,0,2,Danske Bank A/S
743,0.2890506367585197,6.2351908596678,-1,1,UBS Group AG
746,0.3196961275156827,5.140509703429725,0,2,Apple Inc
750,0.1407113075077497,6.038969162809701,0,0,Danske Bank A/S
751,0.2226165462314933,6.104448362299426,0,0,Danske Bank A/S
753,0.1434868814962388,5.957628320580509,0,0,Danske Bank A/S
754,0.4728109591317994,5.635835985110015,0,2,Morgan Stanley
759,0.1424963726349401,6.317763639823115,-1,1,UBS Group AG
767,0.3503952009592985,3.5177332756387965,0,0,AbbVie Inc
771,0.0934044508618598,6.407892272312309,0,0,Intesa Sanpaolo SpA
777,0.2994086587377436,5.757787863187327,0,2,JPMorgan Chase & Co
779,0.5006449356203875,7.590203798839954,0,2,Intesa Sanpaolo SpA
782,0.4212307206125193,5.637231229449496,0,2,JPMorgan Chase & Co
784,0.296653011223159,2.0196936766704847,-1,1,UBS Group AG
788,0.2226165462314933,6.161708966433473,0,0,Danske Bank A/S
790,0.2647070764358465,5.450472252673741,-1,1,Intel Corp
801,0.0986586897324953,5.90159612321908,-1,1,UBS Group AG
802,0.2509746033435499,5.596310272436294,0,0,JPMorgan Chase & Co
805,0.0523987100126743,6.133323985950671,0,0,Danske Bank A/S
808,0.3603046025824145,5.579843275589213,-1,1,Intel Corp
817,0.1053582532394536,6.277928247486326,-1,1,UBS Group AG
826,0.0792776246087775,6.8792214347124885,0,0,Danske Bank A/S
835,0.2890506367585197,6.240718790131468,-1,1,UBS Group AG
841,0.3987174352670955,6.440651537534744,0,2,Intesa Sanpaolo SpA
844,0.7028373987679067,5.0715678298950655,0,2,AbbVie Inc
851,0.4289408102469792,5.5093752834018614,-1,1,Intel Corp
855,0.1424963726349401,6.318318236573337,-1,1,UBS Group AG
861,0.0877318611074334,6.182524329598581,-1,1,UBS Group AG
865,0.3137689721243544,5.882561435710337,0,2,Nasdaq Inc
866,0.0584390494729494,6.655625149803776,0,0,Danske Bank A/S
881,0.0488797866434552,6.944865771288087,0,0,Danske Bank A/S
882,0.1052423576842678,6.494675148920195,0,0,Danske Bank A/S
889,0.1052423576842678,6.492610409397045,0,0,Danske Bank A/S
