,Issuer Name,Amt Issued,Issue Date,Maturity,Moody Rtg,S&P Rating,Currency,ISIN,Yld to Mty (Mid),Yield at Issue,Cpn,Moody's Rating Outlook,S&P Outlook,LQA Bid-Ask Spread,Market Cap
210,JPMorgan Chase & Co,2725365000.0,7/21/2016,10/1/2026,A1,A-,USD,US46625HRV41,5.114862382045284,2.975,2.95,STABLE,STABLE,0.0812917517890065,443654140000
211,UBS Group AG,1473051000.0,8/5/2022,8/5/2033,A3,A-,USD,USH42097DL81,6.376513148634746,4.988,4.988,POS,NEG,0.3648736240730391,80112709880
212,Apple Inc,911540000.0,5/10/2023,5/8/2026,Aaa,AA+,USD,US037833ES58,4.843585497300617,4.421,4.421,STABLE,STABLE,0.1087932719047465,2962954783520
217,UBS Group AG,2221255000.0,9/24/2015,9/24/2025,A3u,A-,USD,USG91703AB73,6.097647607110796,4.148,4.125,POS,NEG,0.09183374717505,80112709880
218,JPMorgan Chase & Co,2789010000.0,3/24/2020,3/24/2031,A1,A-,USD,US46647PBJ49,5.990501806119385,4.493,4.493,STABLE,STABLE,0.1770969448218341,443654140000
219,Morgan Stanley,1268262500.0,10/18/2022,10/16/2026,A1,A-,USD,US61747YEX94,6.242387903734481,6.138,6.138,STABLE,STABLE,0.118352057718183,125905011300
220,Apple Inc,1642089750.0,2/9/2017,2/9/2024,Aaa,AA+,USD,US037833CG39,5.726772662195756,3.007,3.0,STABLE,STABLE,0.0597634853714939,2962488200960
221,AbbVie Inc,2197097500.0,5/14/2015,5/14/2035,A3,A-,USD,US00287YAR09,5.277691843599392,4.553,4.5,STABLE,STABLE,0.1990391254654204,245904051990
222,Apple Inc,980758000.0,8/8/2022,8/8/2029,Aaa,AA+,USD,US037833EN61,4.611109401479598,3.27,3.25,STABLE,STABLE,0.1939703879772564,2962954783520
224,Deutsche Bank AG,750000000.0,11/29/2022,11/29/2027,A1,A-,EUR,DE000A30VQ09,3.8635161700698513,4.025,4.0,STABLE,POS,0.170100027989299,22573248090
225,Apple Inc,1758830000.0,5/13/2015,5/13/2045,Aaa,AA+,USD,US037833BH21,5.119359898433825,4.397,4.375,STABLE,STABLE,0.308770181944894,2962488200960
227,JPMorgan Chase & Co,2772093000.0,5/13/2020,5/13/2031,A3,BBB+,USD,US46647PBP09,6.067147132289432,2.956,2.956,STABLE,STABLE,0.1600762673535532,443711960170
228,Apple Inc,2020173750.0,8/4/2016,8/4/2026,Aaa,AA+,USD,US037833BZ29,4.840052866343234,2.481,2.45,STABLE,STABLE,0.0736774502233574,2962954783520
229,Intesa Sanpaolo SpA,1145197500.0,6/20/2023,6/20/2033,Baa1,BBB,USD,XS2638075700,6.973025280199065,6.634,6.625,STABLE,STABLE,0.2500437938111123,47827802150
230,JPMorgan Chase & Co,1919330000.0,6/14/2022,6/14/2025,A1,A-,USD,US46647PDE34,6.311359734535497,3.845,3.845,STABLE,STABLE,0.0352074412264902,443654140000
233,Intesa Sanpaolo SpA,1250000000.0,3/16/2021,3/16/2028,Baa1,BBB,EUR,XS2317069685,4.1175909014545615,0.757,0.75,STABLE,STABLE,0.165280889873779,47827802150
234,Intesa Sanpaolo SpA,750000000.0,9/1/2020,#N/A Field Not Applicable,Ba3,BB-,EUR,XS2223762381,8.84304063558802,5.5,5.5,STABLE,STABLE,0.5713205510657712,47827802150
238,Intesa Sanpaolo SpA,613095750.0,6/1/2021,6/1/2032,Baa3,BB+,USD,US46115HBQ92,8.399835423410387,4.1979999999999995,4.198,STABLE,STABLE,0.2093180794833789,47827802150
241,Morgan Stanley,2914541000.0,4/22/2021,5/4/2027,A1,A-,USD,US61772BAB99,5.986801103063768,1.593,1.593,STABLE,STABLE,0.089618299442687,125896804740
243,JPMorgan Chase & Co,2345392500.0,4/26/2022,4/26/2033,A1,A-,USD,US46647PDC77,5.789691274015414,4.586,4.586,STABLE,STABLE,0.1992732874885909,443654140000
244,AbbVie Inc,1756482000.0,5/12/2016,5/14/2026,A3,A-,USD,US00287YAY59,5.0778358864845545,3.245,3.2,STABLE,STABLE,0.0647687677879745,245904051990
247,JPMorgan Chase & Co,2235295000.0,3/23/2016,4/1/2026,A1,A-,USD,US46625HQW33,5.381040955790706,3.314,3.3,STABLE,STABLE,0.0789068470995585,443654140000
252,UBS Group AG,1935060000.0,11/14/2022,11/15/2033,A3,A-,USD,USH3698DDW14,6.586395629323485,9.016,9.016,POS,NEG,0.2190537417206921,80112709880
255,UBS Group AG,1250000000.0,3/17/2023,3/17/2032,A3,A-,EUR,CH1255915014,4.605563085866351,4.824,4.75,POS,NEG,0.2280932246493315,80112709880
256,Apple Inc,1245109500.0,2/8/2021,2/8/2041,Aaa,AA+,USD,US037833EE62,5.004135310657904,2.3850000000000002,2.375,STABLE,STABLE,0.2604418481141124,2962954783520
257,UBS Group AG,1718559500.0,8/5/2022,8/5/2027,A3,A-,USD,USH42097DK09,6.369851723260784,4.703,4.703,POS,NEG,0.1251054022606735,80112709880
258,UBS Group AG,2128515750.0,1/9/2017,1/9/2028,A3,A-,USD,USH3698DAR55,5.878381777202181,4.282,4.282,POS,NEG,0.1846517570901186,80112709880
262,Morgan Stanley,1962602000.0,7/20/2022,7/17/2026,A1,A-,USD,US61747YET82,6.329095452120459,4.679,4.679,STABLE,STABLE,0.0695231184472642,125896804740
263,Morgan Stanley,2759508000.0,1/27/2016,1/27/2026,A1,A-,USD,US61746BDZ67,5.417431169328894,3.9000000000000004,3.875,STABLE,STABLE,0.0881655990805965,125905011300
264,Intesa Sanpaolo SpA,1250000000.0,7/4/2019,7/4/2024,Baa1,BBB,EUR,XS2022425297,4.162185810618487,1.03,1.0,STABLE,STABLE,0.0495872739769876,47827802150
265,Nasdaq Inc,1145636250.0,6/28/2023,2/15/2034,Baa2,BBB,USD,US63111XAJ00,5.618778573483006,5.5520000000000005,5.55,STABLE,STABLE,0.2344479188081022,32223471230
266,Apple Inc,1692580000.0,8/18/2017,8/19/2024,Aaa,AA+,CAD,CA037833CY47,5.172653686948265,2.513,2.513,STABLE,STABLE,0.0531654603643249,2962643728480
268,UBS Group AG,2183377500.0,1/31/2019,#N/A Field Not Applicable,Baa3,BB,USD,US90352JAF03,8.58242508197265,7.0,7.0,POS,NEG,0.3536730055828841,80112709880
